"","N3DMSO","N2DMSO","N1DMSO","N3FK","N2FK","N1FK","N3Met","N2Met","N1Met","N3MetFK","N2MetFK","N1MetFK"
"ENSG00000000419",-1,1,0,0,1,1,-1,0,0,0,-1,0
"ENSG00000001036",1,0,1,0,0,1,0,-1,0,-1,-1,0
"ENSG00000001084",-1,-1,-1,0,0,0,0,0,1,0,1,1
"ENSG00000001630",0,-1,-1,0,1,0,-1,0,0,0,1,1
"ENSG00000002549",-1,0,-1,0,1,1,-1,0,0,0,0,1
"ENSG00000002587",0,0,0,1,1,1,-1,-1,0,0,0,-1
"ENSG00000002726",-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
"ENSG00000002746",0,-1,-1,-1,0,0,1,1,0,0,0,1
"ENSG00000003137",1,1,1,0,0,-1,0,0,0,0,-1,-1
"ENSG00000003987",-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
"ENSG00000003989",0,0,0,1,1,1,-1,0,0,-1,0,-1
"ENSG00000004455",1,1,1,0,-1,0,0,-1,0,0,-1,0
"ENSG00000004468",0,0,0,1,1,1,0,0,-1,-1,0,-1
"ENSG00000004478",0,1,1,0,0,1,0,-1,-1,0,0,-1
"ENSG00000004779",1,1,1,0,0,0,-1,0,0,-1,0,-1
"ENSG00000004799",-1,-1,1,-1,-1,-1,0,0,0,-1,-1,-1
"ENSG00000004809",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000004864",0,1,1,0,0,1,0,-1,0,-1,-1,0
"ENSG00000004939",-1,-1,0,-1,0,0,0,-1,-1,1,1,1
"ENSG00000004961",1,1,0,0,0,1,-1,-1,0,0,-1,0
"ENSG00000005022",0,1,1,0,0,1,0,-1,-1,0,-1,0
"ENSG00000005075",1,1,1,0,0,0,0,-1,-1,0,-1,0
"ENSG00000005187",-1,0,0,-1,1,-1,1,0,1,0,-1,0
"ENSG00000005339",0,-1,0,0,-1,-1,0,0,1,0,1,1
"ENSG00000005381",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000005421",-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000005469",0,1,-1,1,1,0,0,0,-1,0,0,-1
"ENSG00000005471",-1,-1,-1,-1,0,-1,0,1,0,0,1,1
"ENSG00000005483",-1,-1,0,0,1,0,-1,1,1,0,0,0
"ENSG00000005810",-1,-1,-1,0,1,0,0,1,1,0,0,0
"ENSG00000005882",1,1,1,0,0,0,0,-1,-1,0,0,-1
"ENSG00000006007",1,1,1,0,0,0,0,0,-1,0,-1,-1
"ENSG00000006071",0,-1,0,-1,1,-1,-1,-1,0,-1,-1,-1
"ENSG00000006530",1,1,-1,0,1,0,-1,0,-1,0,0,0
"ENSG00000006534",0,0,0,-1,-1,0,1,-1,0,1,0,1
"ENSG00000006625",0,1,0,1,1,0,-1,0,0,-1,0,-1
"ENSG00000006695",0,-1,0,-1,-1,0,0,0,0,1,1,1
"ENSG00000006756",-1,-1,-1,0,0,0,1,0,0,1,1,0
"ENSG00000006757",0,0,-1,-1,-1,0,1,1,0,1,0,0
"ENSG00000007001",-1,-1,-1,1,1,0,0,-1,0,-1,-1,-1
"ENSG00000007168",0,0,-1,1,1,1,-1,0,0,-1,0,0
"ENSG00000007171",-1,0,1,0,-1,0,0,1,-1,-1,-1,-1
"ENSG00000007216",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000007350",0,-1,1,-1,1,-1,-1,-1,-1,-1,-1,0
"ENSG00000007541",1,0,1,0,-1,0,0,-1,0,1,0,-1
"ENSG00000007933",-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
"ENSG00000007944",0,-1,-1,1,1,0,0,-1,0,0,1,0
"ENSG00000008130",1,0,1,0,0,1,0,-1,0,-1,-1,0
"ENSG00000008300",0,-1,0,0,-1,-1,1,0,0,1,0,1
"ENSG00000008311",-1,-1,-1,1,1,0,0,1,0,0,0,0
"ENSG00000008394",-1,1,0,1,0,0,0,-1,0,-1,0,1
"ENSG00000008438",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000008513",0,0,1,-1,0,-1,0,-1,0,1,0,1
"ENSG00000009335",1,0,0,1,1,0,-1,0,0,-1,0,-1
"ENSG00000009413",-1,0,-1,0,1,-1,0,1,1,0,0,0
"ENSG00000009830",0,0,0,-1,-1,-1,1,0,0,1,0,1
"ENSG00000010165",1,1,1,0,0,0,0,0,-1,0,-1,-1
"ENSG00000010256",0,1,1,0,-1,0,0,-1,-1,1,0,0
"ENSG00000010379",1,-1,0,1,-1,0,0,-1,0,0,0,1
"ENSG00000010404",1,-1,0,0,0,1,0,0,1,-1,-1,0
"ENSG00000010932",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000011009",1,1,1,0,0,0,0,0,-1,0,-1,-1
"ENSG00000011052",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000011083",-1,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1
"ENSG00000011198",-1,0,-1,0,1,1,-1,0,0,0,1,0
"ENSG00000011275",0,-1,0,0,-1,-1,1,0,0,1,0,1
"ENSG00000011405",-1,1,-1,0,1,-1,0,1,0,0,0,0
"ENSG00000012232",1,0,1,1,0,0,0,-1,-1,0,-1,0
"ENSG00000012660",0,0,0,1,1,1,-1,0,0,-1,0,-1
"ENSG00000012779",-1,-1,1,0,-1,-1,-1,-1,0,1,-1,-1
"ENSG00000012963",1,1,0,0,0,1,-1,0,0,0,-1,-1
"ENSG00000013288",0,-1,0,0,-1,-1,1,0,0,1,1,0
"ENSG00000013375",-1,0,-1,1,1,0,-1,1,0,0,0,0
"ENSG00000013392",-1,-1,-1,0,0,0,0,1,1,0,1,0
"ENSG00000013503",0,0,-1,1,1,1,-1,0,0,-1,0,0
"ENSG00000013561",-1,-1,-1,0,0,0,0,0,1,0,1,1
"ENSG00000014138",1,1,1,0,0,0,0,-1,0,0,-1,-1
"ENSG00000014257",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000014641",0,1,0,0,1,1,-1,0,0,-1,-1,0
"ENSG00000015413",0,0,1,1,0,1,-1,0,-1,-1,0,0
"ENSG00000015520",-1,0,-1,1,-1,0,1,-1,0,-1,1,0
"ENSG00000015532",1,1,1,0,0,0,0,0,-1,-1,0,-1
"ENSG00000016391",0,0,1,1,0,0,1,-1,0,-1,0,-1
"ENSG00000016864",0,0,0,-1,1,-1,1,1,0,-1,0,0
"ENSG00000017260",-1,-1,-1,0,1,0,0,1,0,0,1,0
"ENSG00000017483",1,0,0,-1,-1,0,1,-1,0,0,0,1
"ENSG00000017797",0,-1,-1,0,1,0,-1,1,0,0,1,0
"ENSG00000018280",0,1,1,0,-1,0,0,0,-1,1,-1,0
"ENSG00000018510",-1,1,0,1,1,0,0,0,0,-1,0,-1
"ENSG00000018625",-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1
"ENSG00000019186",0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0
"ENSG00000021461",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000021488",0,-1,0,0,-1,-1,1,1,0,0,0,1
"ENSG00000021826",-1,0,-1,0,1,-1,0,1,0,1,0,0
"ENSG00000023041",0,0,-1,1,1,0,0,1,0,-1,0,-1
"ENSG00000023228",0,-1,-1,1,1,1,-1,0,0,0,0,0
"ENSG00000023330",-1,0,0,-1,-1,0,1,1,0,1,0,0
"ENSG00000023572",-1,0,-1,0,0,-1,0,1,1,0,0,1
"ENSG00000023697",0,1,0,0,1,1,0,0,0,-1,-1,-1
"ENSG00000023839",1,1,0,1,0,0,0,-1,0,-1,-1,0
"ENSG00000023909",-1,-1,-1,0,1,0,0,0,1,0,0,1
"ENSG00000024048",-1,-1,-1,0,0,0,0,1,1,0,1,0
"ENSG00000025423",0,0,0,1,1,1,-1,0,-1,0,-1,0
"ENSG00000025708",0,1,0,0,-1,-1,-1,0,1,1,0,0
"ENSG00000025800",1,0,1,1,0,0,0,-1,-1,0,0,-1
"ENSG00000026103",0,1,0,1,1,0,-1,0,0,-1,0,-1
"ENSG00000026652",0,-1,-1,0,0,-1,1,1,0,0,0,1
"ENSG00000027847",1,0,1,0,-1,0,0,-1,-1,1,0,0
"ENSG00000029639",-1,0,0,0,0,-1,0,1,-1,1,1,0
"ENSG00000030066",0,1,0,1,1,0,-1,0,-1,0,0,-1
"ENSG00000031698",-1,0,0,-1,-1,0,0,0,0,1,1,1
"ENSG00000032444",0,0,0,0,-1,-1,1,0,-1,1,1,0
"ENSG00000033011",1,1,1,0,0,0,0,-1,-1,0,-1,0
"ENSG00000033100",1,1,1,0,0,0,0,-1,0,0,-1,-1
"ENSG00000033170",-1,-1,-1,0,1,0,0,1,0,0,1,0
"ENSG00000033178",-1,1,-1,0,1,0,-1,1,0,0,0,0
"ENSG00000033627",1,0,1,0,-1,-1,1,-1,0,0,0,0
"ENSG00000033867",-1,0,-1,1,1,0,-1,1,0,0,0,0
"ENSG00000034677",-1,-1,-1,0,0,0,0,1,1,0,1,0
"ENSG00000035687",-1,-1,-1,0,1,0,0,1,0,0,1,0
"ENSG00000036473",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000036530",0,0,-1,0,-1,-1,0,0,1,1,0,1
"ENSG00000036565",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000036672",0,0,-1,-1,-1,0,0,0,0,1,1,1
"ENSG00000037757",1,1,1,0,0,0,0,-1,0,0,-1,-1
"ENSG00000037897",1,1,1,0,0,0,0,-1,-1,0,0,-1
"ENSG00000038002",-1,0,-1,0,0,-1,0,0,1,0,1,1
"ENSG00000038210",0,0,0,1,1,1,-1,0,0,-1,-1,0
"ENSG00000038274",0,0,-1,0,1,1,-1,1,0,0,0,-1
"ENSG00000039123",-1,1,-1,0,1,0,-1,1,0,0,0,0
"ENSG00000039650",1,1,1,0,0,0,0,-1,-1,0,-1,0
"ENSG00000040933",0,-1,-1,0,0,-1,0,0,0,1,1,1
"ENSG00000041880",0,0,0,-1,-1,-1,0,0,1,1,0,1
"ENSG00000043514",-1,1,-1,0,0,0,0,1,1,-1,0,0
"ENSG00000044446",0,0,0,-1,-1,-1,1,0,0,1,1,0
"ENSG00000047230",-1,-1,-1,0,0,0,1,1,0,0,1,0
"ENSG00000047249",-1,-1,-1,0,0,1,0,0,1,0,0,1
"ENSG00000047315",0,0,0,1,1,1,-1,0,0,-1,0,-1
"ENSG00000047410",-1,1,-1,0,1,0,-1,1,0,0,0,0
"ENSG00000047457",0,-1,-1,0,-1,0,1,0,1,-1,0,-1
"ENSG00000048028",0,0,-1,0,1,-1,0,1,0,0,1,-1
"ENSG00000048392",-1,0,-1,0,1,-1,0,1,1,0,0,0
"ENSG00000049239",0,-1,0,0,-1,-1,1,0,0,1,0,1
"ENSG00000049759",0,-1,-1,0,0,-1,0,0,0,1,1,1
"ENSG00000049860",-1,-1,0,-1,0,0,0,0,1,0,1,1
"ENSG00000050438",1,0,0,1,0,1,0,-1,-1,0,0,-1
"ENSG00000051341",0,1,0,1,1,0,0,0,0,-1,-1,-1
"ENSG00000051382",-1,-1,-1,1,1,0,0,1,0,0,0,0
"ENSG00000052802",-1,0,0,1,1,1,-1,0,0,-1,0,0
"ENSG00000053371",0,1,1,0,-1,0,0,-1,-1,1,0,0
"ENSG00000054148",0,1,1,-1,-1,0,0,0,-1,1,0,0
"ENSG00000054179",1,0,1,0,1,0,0,0,-1,0,-1,-1
"ENSG00000054267",-1,0,-1,0,1,0,0,1,1,-1,0,0
"ENSG00000054392",0,-1,-1,0,-1,0,1,0,0,1,1,0
"ENSG00000054983",-1,-1,-1,0,0,0,0,1,0,0,1,1
"ENSG00000055483",0,-1,0,0,-1,-1,0,0,0,1,1,1
"ENSG00000055609",-1,-1,-1,0,1,0,0,0,1,0,0,1
"ENSG00000056998",0,-1,0,0,-1,0,1,1,-1,1,0,-1
"ENSG00000057252",0,0,0,1,1,1,0,0,0,-1,-1,-1
"ENSG00000058056",1,0,0,1,1,0,0,0,0,-1,-1,-1
"ENSG00000058600",0,0,0,-1,0,-1,1,0,-1,1,1,0
"ENSG00000058668",1,0,0,1,1,0,-1,-1,-1,0,0,0
"ENSG00000058804",0,0,0,1,1,1,-1,0,0,-1,0,-1
