"","x"
"1","BA2409R"
"2","BA3037R"
"3","BA2496R"
"4","BA2865R"
"5","BA2286R"
"6","BA3379R"
"7","BA2887R"
"8","BA2712R"
"9","BA2068R"
"10","BA2104R"
"11","BA3124R"
"12","BA2235R"
"13","BA3038R"
"14","BA2239R"
"15","BA2488R"
"16","BA2861R"
"17","BA2909R"
"18","BA2653R"
"19","BA2947R"
"20","BA2162R"
"21","BA2564R"
"22","BA2597R"
"23","BA3243R"
"24","BA2446R"
"25","BA2525R"
"26","BA2876R"
"27","BA2357R"
"28","BA2742R"
"29","BA2316R"
"30","BA2087R"
"31","BA2148R"
"32","BA2063R"
"33","BA3178R"
"34","BA2072R"
"35","BA2733R"
"36","BA2069R"
"37","BA2681R"
"38","BA2832R"
"39","BA2600R"
"40","BA3230R"
"41","BA2731R"
"42","BA2294R"
"43","BA2816R"
"44","BA2814R"
"45","BA2631R"
"46","BA2375R"
"47","BA2485R"
"48","BA2455R"
"49","BA2636R"
"50","BA2325R"
"51","BA2156R"
"52","BA2511R"
"53","BA2871R"
"54","BA2227R"
"55","BA2125R"
"56","BA2603R"
"57","BA2482R"
"58","BA2594R"
"59","BA2747R"
"60","BA2561R"
"61","BA2567R"
"62","BA2956R"
"63","BA2474R"
"64","BA2110R"
"65","BA2992R"
"66","BA2220R"
"67","BA2772R"
"68","BA2935R"
"69","BA2260R"
"70","BA2948R"
"71","BA2524R"
"72","BA2811R"
"73","BA2302R"
"74","BA2651R"
"75","BA3013R"
"76","BA2405R"
"77","BA2856R"
"78","BA2377R"
"79","BA2499R"
"80","BA3023R"
"81","BA2095R"
"82","BA2901R"
"83","BA2962R"
"84","BA2195R"
"85","BA2420R"
"86","BA2053R"
"87","BA2081R"
"88","BA2354R"
"89","BA3273R"
"90","BA2893R"
"91","BA2489R"
"92","BA2908R"
"93","BA2054R"
"94","BA2872R"
"95","BA2041R"
"96","BA2464R"
"97","BA2902R"
"98","BA2541R"
"99","BA2843R"
"100","BA2497R"
"101","BA2718R"
"102","BA2593R"
"103","BA2791R"
"104","BA2620R"
"105","BA2870R"
"106","BA2276R"
"107","BA2709R"
"108","BA2538R"
"109","BA2583R"
"110","BA2806R"
"111","BA2514R"
"112","BA2520R"
"113","BA2441R"
"114","BA2479R"
"115","BA2281R"
"116","BA2932R"
"117","BA2844R"
"118","BA2660R"
"119","BA2714R"
"120","BA2139R"
"121","BA2952R"
"122","BA2440R"
"123","BA2828R"
"124","BA2051R"
"125","BA2532R"
"126","BA2494R"
"127","BA2748R"
"128","BA2970R"
"129","BA2839R"
"130","BA3011R"
"131","BA2868R"
"132","BA2510R"
"133","BA2691R"
"134","BA2374R"
"135","BA2804R"
"136","BA2675R"
"137","BA2031R"
"138","BA2198R"
"139","BA2344R"
"140","BA2459R"
"141","BA2229R"
"142","BA2559R"
"143","BA2093R"
"144","BA2000R"
"145","BA2425R"
"146","BA2905R"
"147","BA2304R"
"148","BA2976R"
"149","BA2386R"
"150","BA2035R"
"151","BA2355R"
"152","BA2113R"
"153","BA2955R"
"154","BA2322R"
"155","BA2376R"
"156","BA2020R"
"157","BA2226R"
"158","BA2121R"
"159","BA2944R"
"160","BA2033R"
"161","BA2867R"
"162","BA2224R"
"163","BA2046R"
"164","BA2972R"
"165","BA2978R"
