"","Control1","Control2","Control3","M1","M2","M3"
"A4galt",-1,0,0,1,-1,1
"A4gnt",-1,-1,-1,-1,-1,-1
"Aaas",0,-1,1,0,-1,1
"Aacs",0,-1,0,1,-1,1
"Aadac",0,-1,-1,-1,-1,-1
"Aadat",-1,-1,-1,1,-1,-1
"Aanat",0,-1,-1,-1,-1,-1
"Aars",-1,0,1,0,-1,1
"Aasdh",-1,0,1,-1,0,1
"Aasdhppt",0,-1,1,1,0,-1
"Aass",1,1,0,0,-1,-1
"Abat",0,1,1,-1,-1,0
"Abca1",-1,0,1,0,1,-1
"Abca3",0,1,0,-1,-1,1
"Abca4",1,-1,-1,1,0,0
"Abca8b",0,0,1,-1,-1,1
"Abcb11",-1,1,-1,-1,-1,-1
"Abcb1a",-1,0,1,0,-1,1
"Abcb4",1,0,1,-1,0,-1
"Abcb6",-1,-1,0,0,1,1
"Abcc1",-1,-1,1,0,0,1
"Abcc2",-1,-1,0,0,1,0
"Abcc3",-1,1,1,0,-1,0
"Abcc4",0,-1,1,0,-1,1
"Abcc5",-1,0,1,1,0,-1
"Abcc8",1,1,-1,0,-1,0
"Abcc9",0,-1,1,-1,0,1
"Abcd1",0,-1,0,-1,1,1
"Abcd2",-1,-1,1,1,0,0
"Abcd3",1,-1,0,-1,1,0
"Abcg1",0,1,1,-1,-1,0
"Abcg2",0,1,0,-1,-1,1
"Abcg5",-1,-1,0,-1,-1,-1
"Abcg8",-1,-1,-1,-1,0,-1
"Abhd12",-1,-1,1,0,0,1
"Abhd5",0,1,1,-1,0,-1
"Abhd6",1,-1,-1,0,1,0
"Abo",-1,-1,-1,-1,-1,-1
"Abtb2",1,1,-1,-1,0,0
"Acaa1a",-1,0,-1,0,1,1
"Acaa1b",0,1,-1,-1,1,0
"Acaa2",1,-1,0,-1,1,0
"Acaca",0,-1,0,1,-1,1
"Acacb",1,-1,0,-1,1,0
"Acad10",0,-1,-1,0,1,1
"Acad11",0,-1,1,-1,1,0
"Acad8",1,-1,-1,0,1,0
"Acad9",0,-1,1,-1,0,1
"Acadl",1,-1,0,-1,1,0
"Acadm",1,-1,0,-1,1,0
"Acads",1,-1,-1,0,1,0
"Acadsb",1,-1,1,0,0,-1
"Acadvl",1,-1,0,-1,1,0
"Acat1",1,-1,0,-1,1,0
"Acat2",0,-1,-1,1,0,1
"Ace",0,0,1,-1,-1,1
"Ace2",1,-1,1,-1,0,0
"Acer1",-1,-1,-1,-1,-1,-1
"Acer2",-1,-1,1,0,1,0
"Acer3",-1,0,1,0,-1,1
"Ache",0,1,-1,-1,0,1
"Acly",1,0,-1,0,-1,1
"Acmsd",-1,0,0,0,1,-1
"Aco1",-1,-1,1,0,0,1
"Aco2",1,-1,0,-1,1,0
"Acot1",0,1,-1,-1,1,0
"Acot11",1,-1,0,-1,1,0
"Acot12",-1,1,0,0,-1,0
"Acot13",1,-1,0,-1,1,0
"Acot2",0,-1,-1,0,1,1
"Acot3",1,-1,0,0,1,-1
"Acot4",-1,-1,1,0,1,0
"Acot6",1,1,0,0,-1,-1
"Acot7",-1,-1,0,0,1,1
"Acot8",1,1,-1,-1,0,0
"Acot9",0,-1,1,-1,0,1
"Acox1",0,-1,1,-1,1,0
"Acox2",0,-1,0,1,-1,1
"Acox3",-1,-1,1,0,0,1
"Acp1",0,1,-1,0,-1,1
"Acp2",-1,0,1,0,-1,1
"Acp4",-1,-1,-1,-1,-1,-1
"Acp5",-1,-1,1,1,0,0
"Acp6",-1,0,-1,1,0,1
"Acp7",-1,-1,-1,-1,-1,-1
"Acpp",0,1,1,-1,-1,0
"Acsbg1",-1,0,1,1,-1,0
"Acsbg2",-1,-1,-1,-1,-1,-1
"Acsf2",1,-1,0,-1,1,0
"Acsf3",1,0,-1,-1,1,0
"Acsl1",-1,-1,1,0,1,0
"Acsl3",1,1,0,-1,0,-1
"Acsl4",1,1,0,0,-1,-1
"Acsl5",1,-1,0,-1,0,1
"Acsl6",0,1,1,-1,0,-1
"Acsm1",-1,-1,-1,-1,-1,-1
"Acsm2",-1,-1,-1,-1,-1,-1
"Acsm3",1,-1,-1,0,1,0
"Acsm4",-1,-1,-1,-1,0,-1
"Acsm5",-1,-1,1,1,0,0
"Acss1",1,0,-1,-1,1,0
"Acss2",1,0,-1,0,-1,1
"Acss3",1,-1,1,0,0,-1
"Acy1",-1,1,-1,0,0,1
"Acy3",0,-1,-1,0,1,1
"Acyp1",0,0,-1,1,1,-1
"Acyp2",1,0,-1,0,1,-1
"Ada",1,1,-1,0,-1,0
"Adcy1",1,0,1,-1,-1,0
"Adcy10",1,-1,-1,0,1,0
"Adcy2",1,-1,0,-1,1,0
"Adcy3",1,-1,0,-1,1,0
"Adcy4",-1,0,0,-1,1,1
"Adcy5",-1,0,1,0,-1,1
"Adcy6",-1,-1,1,0,0,1
"Adcy7",-1,0,1,0,-1,1
"Adcy8",0,0,0,-1,-1,1
"Adcy9",0,-1,1,-1,0,1
"Adh1",-1,0,0,1,-1,1
"Adh4",1,0,-1,-1,0,0
"Adh5",-1,-1,0,1,0,1
"Adh6b",-1,-1,-1,-1,-1,1
"Adh7",-1,1,1,0,-1,0
"Adhfe1",-1,-1,1,0,1,0
"Adi1",0,0,1,-1,-1,1
"Adk",1,-1,1,-1,0,0
"Ado",0,1,-1,0,-1,1
"Adpgk",-1,0,1,0,-1,1
"Adprh",0,0,-1,1,-1,1
"Adprm",0,1,0,1,-1,-1
"Adsl",0,-1,0,-1,1,1
"Adss",0,1,1,0,-1,-1
"Adssl1",0,-1,0,-1,1,1
"Afmid",1,0,-1,1,0,-1
"Aga",-1,1,1,-1,0,0
"Agk",1,0,1,-1,0,-1
"Agl",0,-1,0,-1,1,1
"Agmat",-1,-1,-1,-1,-1,-1
"Agpat1",0,-1,-1,0,1,1
"Agpat2",1,-1,-1,1,0,0
"Agpat3",1,-1,-1,0,1,0
"Agpat4",0,1,0,-1,-1,1
"Agpat5",-1,0,-1,1,1,0
"Agps",0,1,1,0,-1,-1
"Agt",0,1,1,-1,-1,0
"Agxt",-1,-1,-1,-1,-1,-1
"Agxt2",-1,-1,0,1,-1,0
"Ahctf1",-1,0,1,0,-1,1
"Ahcyl",0,0,0,0,0,0
"Ahcyl1",1,-1,0,-1,1,0
"Ahcyl2",-1,0,1,1,-1,0
"Aicda",-1,1,0,-1,0,-1
"Ak1",1,-1,0,-1,1,0
"Ak2",-1,-1,0,1,1,0
"Ak3",1,-1,0,-1,1,0
"Ak4",1,-1,0,-1,1,0
"Ak5",0,1,0,-1,-1,1
"Ak6",-1,-1,1,1,0,0
"Ak7",-1,-1,-1,-1,-1,1
"Ak8",-1,-1,0,-1,-1,1
"Ak9",-1,1,-1,-1,-1,-1
"Akr1a1",-1,1,0,0,-1,1
"Akr1b3",-1,0,1,-1,0,1
"Akr1b8",-1,-1,1,0,0,1
"Akr1c20",-1,-1,-1,-1,-1,-1
"Akr1c6",-1,-1,0,-1,-1,-1
"Akr1d1",-1,-1,-1,-1,-1,0
"Akr7a5",0,1,-1,-1,1,0
"Alad",-1,0,-1,1,1,0
"Alas1",0,-1,-1,1,0,1
"Alas2",0,-1,-1,0,1,1
"Alb",-1,1,1,0,-1,0
"Aldh18a1",1,1,0,-1,-1,0
"Aldh1a1",0,0,1,-1,-1,1
"Aldh1a2",1,-1,0,0,-1,1
"Aldh1a3",1,1,0,-1,-1,0
"Aldh1b1",0,1,-1,-1,1,0
"Aldh1l1",-1,-1,1,0,0,1
"Aldh1l2",0,0,1,-1,1,-1
"Aldh2",-1,0,0,1,-1,1
"Aldh3a1",-1,-1,1,0,0,1
"Aldh3a2",-1,-1,1,0,0,1
"Aldh3b1",-1,1,0,-1,0,1
"Aldh3b2",1,0,0,-1,-1,1
"Aldh4a1",0,-1,-1,1,0,1
"Aldh5a1",1,-1,0,-1,0,1
"Aldh6a1",0,-1,1,-1,1,0
"Aldh7a1",-1,0,1,0,-1,1
"Aldh8a1",-1,-1,1,-1,-1,-1
"Aldh9a1",1,-1,0,-1,1,0
"Aldoa",-1,1,0,-1,0,1
"Aldob",0,-1,1,-1,0,1
"Aldoc",1,1,0,-1,-1,0
"Alg1",-1,1,-1,1,0,0
"Alg10b",0,1,1,0,-1,-1
"Alg11",-1,0,1,0,-1,1
"Alg12",-1,1,-1,0,1,0
"Alg13",-1,1,1,0,0,-1
"Alg14",1,1,-1,-1,0,0
"Alg2",-1,0,0,1,-1,1
"Alg3",0,-1,-1,1,0,1
"Alg5",-1,-1,0,1,0,1
"Alg6",-1,1,1,-1,0,0
"Alg8",-1,1,0,1,-1,0
"Alg9",-1,-1,0,1,0,1
"Alkbh8",1,0,1,0,-1,-1
"Allc",-1,-1,-1,-1,-1,-1
"Alox12",0,1,-1,0,-1,1
"Alox12b",-1,-1,-1,-1,-1,-1
"Alox15",-1,-1,0,0,0,1
"Alox5",-1,0,1,0,-1,1
"Alox8",-1,1,0,0,-1,-1
"Aloxe3",0,1,-1,-1,0,1
"Alpi",-1,-1,-1,-1,-1,-1
"Alpl",0,1,1,-1,-1,0
"Amacr",1,-1,0,-1,1,0
"Amd1",-1,1,1,0,-1,0
"Amd2",-1,-1,0,0,1,1
"Amdhd1",1,0,-1,0,-1,1
"Amdhd2",0,-1,-1,0,1,1
"Amfr",-1,-1,1,0,0,1
"Amigo3",-1,1,-1,0,1,0
"Amn",0,1,-1,-1,0,0
"Ampd1",0,-1,1,-1,0,1
"Ampd2",-1,0,-1,0,1,1
"Ampd3",1,-1,0,-1,0,1
"Amt",1,1,0,-1,0,-1
"Amy1",-1,-1,1,1,0,0
"Amy2a5",-1,-1,0,-1,-1,-1
"Anapc11",-1,0,-1,1,0,1
"Angptl4",0,1,-1,-1,0,1
"Ankrd1",1,0,1,-1,0,-1
"Anpep",0,1,0,-1,-1,1
"Anxa3",0,-1,0,1,-1,1
"Aoah",0,0,1,-1,-1,1
"Aoc1",-1,-1,-1,1,-1,0
"Aoc2",-1,0,-1,1,1,0
"Aoc3",-1,-1,1,0,0,1
"Aox1",-1,-1,1,0,0,1
"Ap1g1",0,-1,1,0,-1,1
"Apip",0,-1,-1,1,0,1
"Apoa1",0,-1,1,-1,-1,0
"Apoa2",-1,-1,1,-1,-1,-1
"Apoa5",-1,-1,-1,-1,-1,-1
"Apob",-1,-1,1,0,-1,-1
"Apobec4",-1,-1,-1,-1,-1,-1
"Apoc1",1,0,-1,-1,1,0
"Apoc2l",0,0,0,0,0,0
"Apoc3",1,0,-1,1,-1,0
"Apoe",0,1,0,-1,-1,1
"Aprt",0,1,-1,1,-1,0
"Aqp1",-1,-1,1,0,0,1
"Aqp2",0,-1,-1,1,1,0
"Aqp3",0,1,-1,0,-1,-1
"Aqp4",0,0,1,-1,1,-1
"Aqp5",-1,1,1,0,0,-1
"Aqp6",-1,1,-1,-1,0,-1
"Aqp7",-1,-1,1,0,1,0
"Aqp8",-1,-1,1,-1,-1,0
"Aqp9",1,-1,0,-1,0,1
"Arcn1",0,1,1,-1,-1,0
"Arg1",-1,1,1,-1,0,0
"Arg2",-1,0,1,0,-1,1
"Arid4b",0,0,1,1,-1,-1
"Arsa",0,-1,0,-1,1,1
"Arsb",-1,0,1,0,-1,1
"Art1",1,0,-1,-1,1,0
"Art3",-1,0,1,0,-1,1
"Art4",0,1,-1,0,-1,1
"Art5",0,0,-1,-1,1,1
"As3mt",-1,1,1,-1,0,0
"Asah1",-1,1,1,0,-1,0
"Asah2",-1,0,1,0,-1,1
"Asb12",0,1,1,-1,0,-1
"Ash1l",-1,1,1,0,-1,0
"Asl",0,1,0,-1,-1,1
"Asmt",-1,-1,-1,-1,-1,-1
"Asns",-1,0,1,0,-1,1
"Aspa",1,-1,0,0,1,-1
"Aspg",1,-1,-1,0,1,0
"Asph",-1,0,1,1,-1,0
"Asrgl1",-1,1,1,0,-1,0
"Ass1",1,1,0,-1,-1,0
"Ate1",0,0,1,-1,-1,1
"Atg9b",1,-1,-1,1,0,0
"Atic",-1,0,1,0,-1,1
"Atp10a",-1,0,1,0,-1,1
"Atp11a",0,1,1,-1,-1,0
"Atp11c",0,0,1,1,-1,-1
"Atp12a",0,1,-1,-1,-1,0
"Atp1a1",1,1,0,-1,-1,0
"Atp1a2",0,-1,1,-1,1,0
"Atp1a3",0,0,-1,1,-1,1
"Atp1a4",-1,0,1,1,-1,0
"Atp1b1",0,1,0,-1,1,-1
"Atp1b2",-1,0,1,-1,0,1
"Atp1b3",-1,-1,1,0,0,1
"Atp1b4",1,0,1,-1,0,-1
"Atp2a1",0,-1,0,-1,1,1
"Atp2a2",1,-1,1,-1,0,0
"Atp2a3",0,0,1,-1,-1,1
"Atp2b1",0,1,1,-1,-1,0
"Atp2b2",1,1,0,-1,-1,0
"Atp2b3",0,-1,1,-1,1,0
"Atp2b4",-1,-1,1,0,0,1
"Atp2c1",0,1,1,-1,-1,0
"Atp2c2",1,1,0,-1,0,-1
"Atp4a",-1,-1,-1,-1,-1,-1
"Atp4b",1,0,-1,-1,0,1
"Atp5a1",1,-1,0,-1,1,0
"Atp5b",1,-1,0,-1,1,0
"Atp5c1",1,-1,0,-1,1,0
"Atp5d",1,-1,-1,0,1,0
"Atp5e",1,-1,-1,0,1,0
"Atp5g1",0,1,-1,-1,1,0
"Atp5g3",-1,0,-1,1,1,0
"Atp5h",1,-1,-1,0,1,0
"Atp5j",0,0,-1,1,1,-1
"Atp5j2",1,-1,-1,0,1,0
"Atp5k",0,-1,-1,1,1,0
"Atp5mpl",1,0,-1,0,1,-1
"Atp5o",1,-1,0,-1,1,0
"Atp5pb",0,0,0,0,0,0
"Atp6ap1",-1,1,1,0,-1,0
"Atp6v0a1",-1,-1,1,0,0,1
"Atp6v0a2",0,0,-1,-1,1,1
"Atp6v0a4",-1,-1,0,-1,-1,-1
"Atp6v0b",0,1,-1,0,1,-1
"Atp6v0c",0,1,-1,0,1,-1
"Atp6v0d1",-1,1,0,0,-1,1
"Atp6v0d2",1,1,0,0,-1,-1
"Atp6v0e",-1,0,-1,0,1,1
"Atp6v1a",0,1,1,-1,-1,0
"Atp6v1b1",1,1,0,-1,0,-1
"Atp6v1b2",1,0,1,-1,-1,0
"Atp6v1c1",-1,-1,0,0,1,1
"Atp6v1c2",0,1,0,-1,-1,1
"Atp6v1d",0,1,1,-1,0,-1
"Atp6v1e1",1,0,-1,-1,1,0
"Atp6v1e2",-1,-1,-1,-1,-1,-1
"Atp6v1f",-1,1,-1,0,1,0
"Atp6v1g1",-1,1,-1,1,0,0
"Atp6v1g2",-1,1,0,-1,1,0
"Atp6v1g3",-1,-1,-1,-1,-1,-1
"Atp6v1h",0,0,1,-1,-1,1
"Atp8a1",1,0,1,-1,-1,0
"Atp8b1",-1,-1,1,1,0,0
"Atp8b2",-1,0,1,0,-1,1
"Atrip",0,1,-1,0,-1,1
"Auh",0,-1,0,-1,1,1
"Awat1",-1,-1,-1,-1,-1,-1
"Awat2",1,1,0,-1,-1,0
"Azin2",-1,-1,0,1,0,1
"B3galnt1",-1,0,1,0,-1,1
