"","GSM2882963","GSM2882964","GSM2882965","GSM2882966","GSM2882967","GSM2882968","GSM2882969","GSM2882970","GSM2882971","GSM2882972","GSM2882973","GSM2882974","GSM2882975","GSM2882976","GSM2882977","GSM2882978","GSM2882979","GSM2882980","GSM2882981","GSM2882982","GSM2882983","GSM2882984","GSM2882985","GSM2882986","GSM2882987","GSM2882988","GSM2882989","GSM2882990","GSM2882991","GSM2882992","GSM2882993","GSM2882995","GSM2882996","GSM2882997","GSM2882998","GSM2882999","GSM2883000","GSM2883001","GSM2883002","GSM2883003","GSM2883004","GSM2883005","GSM2883006","GSM2883007","GSM2883008","GSM2883009","GSM2883010","GSM2883011","GSM2883012","GSM2883013","GSM2883014","GSM2883015","GSM2883016","GSM2883017","GSM2883018","GSM2883019"
"ENSG00000000419",0,0,0,0,-1,0,-1,-1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,0,-1,1,0,-1,-1,-1,1,-1,-1,0,1,0,1,1,-1,0,-1,0,1,1,0,1,1,0,0,0,1,0,-1,1,1,0,0,0
"ENSG00000001036",0,1,0,1,0,1,1,1,0,-1,0,0,-1,1,0,-1,-1,0,0,0,0,-1,0,1,1,0,0,0,1,1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,0,0,1,1,0,1
"ENSG00000001084",-1,-1,-1,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,-1,0,1,0,1,0,-1,1,1,-1,0,-1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,1,1,0,0,1
"ENSG00000001630",1,0,-1,0,0,1,0,1,0,0,0,-1,-1,0,-1,0,-1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,-1,0,1,1,0,0,1,0,0,1
"ENSG00000002549",1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,-1,0,0,-1,-1,-1,1,1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,0,-1,0,0,-1,0,-1,0,0,0,0,0,1
"ENSG00000002587",1,0,0,0,0,-1,-1,1,0,0,0,0,0,1,1,-1,-1,-1,0,-1,0,1,0,1,1,0,0,-1,1,1,1,-1,-1,-1,-1,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,1,1,0,1
"ENSG00000002726",-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
"ENSG00000002746",-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,1,1,0,0,0,0,1,1,0,0,0,0,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,1,0,1,1,-1,0,0,0,0,1,1,1,0
"ENSG00000003137",0,0,0,1,1,-1,-1,1,0,-1,0,-1,-1,1,1,0,0,0,-1,0,0,0,0,1,1,0,-1,-1,1,1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,1,1,1
"ENSG00000003987",0,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,0,0,1,1,1,0,0,0,1,1,0,-1,-1,0,-1,0,0,1,1,0,-1,1,1,0,0,1,1,0,-1,0
