"","FPKM.MET_0mM_1","FPKM.MET_0mM_2","FPKM.MET_0mM_3","FPKM.MET_20mM_1","FPKM.MET_20mM_2","FPKM.MET_20mM_3","FPKM.MET_40mM_1","FPKM.MET_40mM_2","FPKM.MET_40mM_3"
"ENSG00000000419",0,1,1,0,0,0,-1,0,-1
"ENSG00000001036",-1,0,-1,0,0,0,1,1,0
"ENSG00000001084",0,0,0,-1,0,-1,1,1,0
"ENSG00000001630",0,0,0,0,0,0,0,0,0
"ENSG00000002549",0,0,0,0,0,0,0,0,0
"ENSG00000002587",0,0,0,0,0,0,0,0,0
"ENSG00000002726",0,0,0,0,0,0,0,0,0
"ENSG00000002746",0,0,0,0,0,0,0,0,0
"ENSG00000003137",0,0,0,0,0,0,0,0,0
"ENSG00000003987",-1,0,0,1,-1,0,0,1,0
"ENSG00000003989",0,1,1,0,0,0,-1,0,-1
"ENSG00000004455",0,0,0,0,1,1,-1,0,-1
"ENSG00000004468",1,0,-1,-1,-1,0,-1,-1,-1
"ENSG00000004478",1,1,0,0,0,0,-1,0,-1
"ENSG00000004779",0,1,-1,0,0,0,0,1,-1
"ENSG00000004799",-1,-1,0,0,0,0,0,1,1
"ENSG00000004809",-1,-1,-1,-1,-1,0,-1,-1,-1
"ENSG00000004864",1,1,0,0,0,-1,0,0,-1
"ENSG00000004939",-1,-1,-1,-1,-1,-1,-1,0,-1
"ENSG00000004961",0,1,0,0,-1,-1,1,0,0
"ENSG00000005022",0,0,0,0,0,0,0,0,0
"ENSG00000005075",0,0,0,0,0,0,0,0,0
"ENSG00000005187",0,0,0,0,0,0,0,0,0
"ENSG00000005339",0,0,0,0,0,0,0,0,0
"ENSG00000005381",0,0,0,0,0,0,0,0,0
"ENSG00000005421",0,0,0,0,0,0,0,0,0
"ENSG00000005469",0,0,0,0,0,0,0,0,0
"ENSG00000005471",0,0,0,0,0,0,0,0,0
"ENSG00000005483",0,0,0,0,0,0,0,0,0
"ENSG00000005810",0,0,0,0,0,0,0,0,0
"ENSG00000005882",0,1,0,-1,-1,0,0,0,1
"ENSG00000006007",0,0,0,0,0,0,0,0,0
"ENSG00000006071",0,0,0,0,0,0,0,0,0
"ENSG00000006530",0,0,0,0,0,0,0,0,0
"ENSG00000006534",0,0,0,0,0,0,0,0,0
"ENSG00000006625",0,0,0,0,0,0,0,0,0
"ENSG00000006695",0,0,0,0,0,0,0,0,0
"ENSG00000006756",0,0,0,0,0,0,0,0,0
"ENSG00000006757",0,0,0,0,0,0,0,0,0
"ENSG00000007001",0,0,0,0,0,0,0,0,0
"ENSG00000007168",0,0,0,0,0,0,0,0,0
"ENSG00000007171",0,0,0,0,0,0,0,0,0
"ENSG00000007216",0,0,0,0,0,0,0,0,0
"ENSG00000007350",-1,-1,0,0,0,0,0,1,1
"ENSG00000007541",-1,0,0,0,0,1,-1,0,1
"ENSG00000007933",-1,0,-1,-1,-1,-1,-1,-1,-1
"ENSG00000007944",0,1,1,-1,0,0,0,0,-1
"ENSG00000008130",0,1,1,0,0,0,-1,0,-1
"ENSG00000008300",0,0,1,-1,-1,0,0,1,0
"ENSG00000008311",-1,-1,0,1,0,0,0,0,1
"ENSG00000008394",0,-1,-1,0,0,0,0,1,1
"ENSG00000008438",-1,-1,1,1,0,0,-1,-1,-1
"ENSG00000008513",1,0,-1,1,0,0,0,-1,0
"ENSG00000009335",1,1,0,0,-1,0,0,0,-1
"ENSG00000009413",-1,-1,0,0,0,0,1,0,1
"ENSG00000009830",0,0,-1,-1,0,0,0,1,1
"ENSG00000010165",1,1,0,0,0,-1,0,0,-1
"ENSG00000010256",0,1,0,0,1,0,-1,0,-1
"ENSG00000010379",0,0,0,0,0,0,0,0,0
"ENSG00000010404",0,0,0,0,0,0,0,0,0
"ENSG00000010932",0,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000011009",0,1,0,-1,-1,0,0,0,1
"ENSG00000011052",0,-1,0,0,0,0,1,1,-1
"ENSG00000011083",-1,-1,-1,1,-1,-1,-1,-1,-1
"ENSG00000011198",0,0,0,0,0,0,0,0,0
"ENSG00000011275",-1,0,0,-1,0,0,1,1,0
"ENSG00000011405",0,0,1,1,0,0,-1,-1,0
"ENSG00000012232",0,0,0,-1,-1,0,1,1,0
"ENSG00000012660",1,0,0,1,0,0,-1,0,-1
"ENSG00000012779",1,1,0,0,0,-1,0,0,-1
"ENSG00000012963",0,0,0,0,0,0,0,0,0
"ENSG00000013288",-1,-1,0,0,0,0,1,0,1
"ENSG00000013375",0,1,1,-1,0,0,0,0,-1
"ENSG00000013392",0,0,0,1,-1,0,1,0,-1
"ENSG00000013503",1,-1,1,0,0,0,0,-1,0
"ENSG00000013561",0,1,1,0,0,0,0,-1,-1
"ENSG00000014138",1,0,1,-1,0,0,0,0,-1
"ENSG00000014257",0,0,0,0,0,0,0,0,0
"ENSG00000014641",0,0,0,0,0,0,0,0,0
"ENSG00000015413",-1,-1,-1,-1,-1,-1,1,0,0
"ENSG00000015520",-1,0,-1,0,0,0,1,1,0
"ENSG00000015532",-1,0,0,0,0,1,-1,0,1
"ENSG00000016391",-1,0,-1,0,0,0,1,-1,1
"ENSG00000016864",0,1,1,0,0,0,0,-1,-1
"ENSG00000017260",0,-1,0,0,0,0,1,1,-1
"ENSG00000017483",-1,0,-1,0,1,-1,-1,0,-1
"ENSG00000017797",1,0,1,0,-1,-1,0,0,0
"ENSG00000018280",0,0,-1,0,1,-1,1,0,0
"ENSG00000018510",0,-1,1,1,0,0,0,0,-1
"ENSG00000018625",-1,-1,-1,0,0,0,0,1,1
"ENSG00000019186",-1,-1,-1,-1,-1,-1,-1,-1,1
"ENSG00000021461",0,0,0,0,0,0,0,0,0
"ENSG00000021488",-1,0,-1,1,0,-1,0,-1,-1
"ENSG00000021826",-1,0,0,0,1,0,-1,0,1
"ENSG00000023041",-1,-1,0,0,0,0,0,1,1
"ENSG00000023228",0,0,1,0,0,1,-1,0,-1
"ENSG00000023330",0,0,0,0,0,0,0,0,0
"ENSG00000023572",0,-1,-1,0,0,0,1,1,0
"ENSG00000023697",0,0,1,1,0,0,-1,0,-1
"ENSG00000023839",-1,0,-1,0,0,0,1,1,0
"ENSG00000023909",1,0,0,0,0,-1,1,0,-1
"ENSG00000024048",0,0,0,-1,-1,0,1,1,0
"ENSG00000025423",1,1,0,0,0,-1,-1,0,0
"ENSG00000025708",0,0,0,1,1,-1,0,-1,0
"ENSG00000025800",0,-1,-1,0,0,0,1,0,1
"ENSG00000026103",0,0,0,0,-1,-1,1,1,0
"ENSG00000026652",-1,0,0,-1,0,0,0,1,1
"ENSG00000027847",0,0,0,0,0,0,0,0,0
"ENSG00000029639",0,0,0,0,0,0,0,0,0
"ENSG00000030066",0,0,0,0,0,0,0,0,0
"ENSG00000031698",0,0,0,0,0,0,0,0,0
"ENSG00000032444",0,0,0,0,0,0,0,0,0
"ENSG00000033011",0,0,0,0,0,0,0,0,0
"ENSG00000033100",0,0,0,0,0,0,0,0,0
"ENSG00000033170",0,0,0,0,0,0,0,0,0
"ENSG00000033178",0,0,0,0,0,0,0,0,0
"ENSG00000033627",-1,-1,0,0,0,0,0,1,1
"ENSG00000033867",1,0,1,0,0,0,0,-1,-1
"ENSG00000034677",0,0,0,0,0,0,0,0,0
"ENSG00000035687",0,0,0,0,0,0,0,0,0
"ENSG00000036473",0,0,0,0,0,0,0,0,0
"ENSG00000036530",-1,0,0,0,0,-1,1,0,1
"ENSG00000036565",0,0,0,0,0,0,0,0,0
"ENSG00000036672",0,0,0,0,0,0,0,0,0
"ENSG00000037757",0,0,0,0,0,0,0,0,0
"ENSG00000037897",0,0,0,0,0,0,0,0,0
"ENSG00000038002",0,0,0,0,0,0,0,0,0
"ENSG00000038210",0,0,0,0,0,0,0,0,0
"ENSG00000038274",0,0,0,0,0,0,0,0,0
"ENSG00000039123",0,0,0,0,0,0,0,0,0
"ENSG00000039650",0,0,0,0,0,0,0,0,0
"ENSG00000040933",0,0,0,0,0,0,0,0,0
"ENSG00000041880",0,0,0,0,0,0,0,0,0
"ENSG00000043514",0,0,0,0,0,0,0,0,0
"ENSG00000044446",1,0,1,0,0,0,0,-1,-1
"ENSG00000047230",0,0,0,0,0,0,0,0,0
"ENSG00000047249",0,0,0,0,0,0,0,0,0
"ENSG00000047315",0,0,0,0,0,0,0,0,0
"ENSG00000047410",0,0,0,0,0,0,0,0,0
"ENSG00000047457",0,0,0,0,0,0,0,0,0
"ENSG00000048028",0,0,0,0,0,0,0,0,0
"ENSG00000048392",0,0,0,0,0,0,0,0,0
"ENSG00000049239",0,1,1,0,0,0,-1,-1,0
"ENSG00000049759",0,0,0,0,0,0,0,0,0
"ENSG00000049860",0,0,0,0,0,0,0,0,0
"ENSG00000050438",1,1,0,0,0,0,-1,-1,0
"ENSG00000051341",0,0,0,0,0,0,0,0,0
"ENSG00000051382",0,0,0,0,0,0,0,0,0
"ENSG00000052802",0,0,0,0,0,0,0,0,0
"ENSG00000053371",0,0,0,0,0,0,0,0,0
"ENSG00000054148",0,0,0,0,0,0,0,0,0
"ENSG00000054179",0,0,0,0,0,0,0,0,0
"ENSG00000054267",0,-1,0,0,0,-1,1,0,1
"ENSG00000054392",0,0,0,0,0,0,0,0,0
"ENSG00000054983",0,0,1,0,1,0,0,-1,-1
"ENSG00000055483",0,-1,-1,0,0,0,1,0,1
"ENSG00000055609",-1,-1,0,0,0,0,0,1,1
"ENSG00000056998",0,0,0,0,0,0,0,0,0
"ENSG00000057252",0,0,0,0,0,0,0,0,0
"ENSG00000058056",1,1,0,0,0,0,-1,-1,0
"ENSG00000058600",0,-1,0,0,-1,0,1,1,0
"ENSG00000058668",-1,0,1,0,0,0,-1,0,1
"ENSG00000058804",0,0,0,0,1,1,-1,0,-1
"ENSG00000058866",1,0,0,0,-1,-1,0,1,0
"ENSG00000059377",-1,0,0,1,0,0,0,-1,1
"ENSG00000059378",1,0,1,0,-1,-1,0,0,0
"ENSG00000059573",0,-1,-1,0,0,0,1,1,0
"ENSG00000059588",0,0,1,0,0,1,0,-1,-1
"ENSG00000059804",0,0,0,0,0,0,0,0,0
"ENSG00000060642",0,0,0,0,0,0,0,0,0
"ENSG00000060762",0,0,0,0,0,0,0,0,0
"ENSG00000060971",0,0,0,0,0,0,0,0,0
"ENSG00000060982",0,0,0,0,0,0,0,0,0
"ENSG00000061918",0,0,0,0,0,0,0,0,0
"ENSG00000062282",-1,0,-1,0,0,0,1,0,1
"ENSG00000062485",-1,0,0,0,1,-1,0,0,1
"ENSG00000062822",0,0,0,0,0,0,0,0,0
"ENSG00000063176",0,0,0,0,0,0,0,0,0
"ENSG00000063601",0,0,0,-1,0,-1,1,1,0
"ENSG00000063854",0,0,0,0,0,0,0,0,0
"ENSG00000064225",0,0,0,0,0,0,0,0,0
"ENSG00000064270",0,0,0,0,0,0,0,0,0
"ENSG00000064601",-1,0,-1,0,0,0,1,0,1
"ENSG00000064651",0,1,1,0,-1,-1,0,0,0
"ENSG00000064763",0,0,0,0,0,0,0,0,0
"ENSG00000065154",0,1,1,-1,0,0,0,0,-1
"ENSG00000065357",0,0,1,0,0,1,-1,0,-1
"ENSG00000065427",0,1,1,0,0,-1,0,0,-1
"ENSG00000065485",1,0,1,-1,-1,0,0,0,0
"ENSG00000065518",0,0,-1,1,0,0,0,1,-1
"ENSG00000065534",-1,-1,0,0,0,0,1,1,0
"ENSG00000065615",0,0,-1,0,0,-1,1,1,0
"ENSG00000065621",0,0,0,0,0,0,0,0,0
"ENSG00000065833",0,0,0,0,0,0,0,0,0
"ENSG00000065911",0,0,0,0,0,0,0,0,0
"ENSG00000065923",0,0,0,0,0,0,0,0,0
"ENSG00000065989",0,0,1,-1,-1,0,0,0,1
"ENSG00000066230",0,0,0,0,0,-1,1,1,-1
"ENSG00000066322",0,1,0,0,-1,-1,0,0,1
"ENSG00000066379",0,0,-1,0,0,0,1,1,-1
"ENSG00000066651",0,0,0,0,0,0,0,0,0
"ENSG00000066813",0,0,0,0,0,0,0,0,0
"ENSG00000066926",0,0,0,0,0,0,0,0,0
"ENSG00000067057",0,0,0,0,0,0,0,0,0
"ENSG00000067064",0,0,0,0,0,0,0,0,0
"ENSG00000067113",0,0,0,0,0,0,0,0,0
"ENSG00000067177",0,0,0,0,0,0,0,0,0
"ENSG00000067225",0,0,0,0,-1,-1,1,1,0
"ENSG00000067365",-1,0,-1,0,0,0,0,1,1
"ENSG00000067829",0,0,1,0,-1,0,-1,0,1
"ENSG00000067840",0,1,0,-1,0,0,-1,0,1
"ENSG00000067842",-1,-1,-1,-1,-1,-1,-1,-1,1
"ENSG00000067992",0,0,1,0,-1,-1,0,0,1
"ENSG00000068001",1,1,0,0,0,0,0,-1,-1
"ENSG00000068120",-1,0,0,0,0,1,-1,0,1
"ENSG00000068308",0,0,0,0,0,0,0,0,0
"ENSG00000068366",0,0,0,0,0,0,0,0,0
"ENSG00000068383",0,0,0,0,0,0,0,0,0
"ENSG00000068438",0,0,0,0,0,0,0,0,0
"ENSG00000068650",0,0,0,0,0,0,0,0,0
"ENSG00000068654",0,0,0,0,0,0,0,0,0
"ENSG00000068745",0,0,0,0,0,0,0,0,0
"ENSG00000068903",0,0,0,0,0,0,0,0,0
"ENSG00000068976",0,0,-1,-1,0,1,0,0,1
"ENSG00000069248",0,0,0,0,0,0,0,0,0
"ENSG00000069431",-1,-1,-1,-1,-1,-1,-1,1,-1
"ENSG00000069535",-1,0,-1,0,0,0,0,1,1
"ENSG00000069667",0,0,0,0,0,0,0,0,0
"ENSG00000069764",0,0,0,-1,-1,-1,1,-1,1
"ENSG00000069849",0,-1,-1,0,0,0,1,1,0
"ENSG00000069869",0,-1,-1,0,0,0,1,1,0
"ENSG00000069943",-1,0,0,-1,0,0,1,0,1
"ENSG00000070019",0,0,0,0,0,0,0,0,0
"ENSG00000070214",-1,-1,0,0,0,0,0,1,1
"ENSG00000070423",0,1,0,0,0,0,-1,-1,1
"ENSG00000070501",0,0,0,0,0,0,0,0,0
"ENSG00000070526",0,0,0,0,0,0,0,0,0
"ENSG00000070610",0,0,0,0,0,0,0,0,0
"ENSG00000070614",0,0,0,0,0,0,0,0,0
"ENSG00000070669",0,0,0,0,0,0,0,0,0
"ENSG00000070731",0,0,0,0,0,0,0,0,0
"ENSG00000070748",0,0,0,0,0,0,0,0,0
"ENSG00000070915",0,0,0,0,0,0,0,0,0
"ENSG00000070950",0,0,0,0,0,0,0,0,0
"ENSG00000070961",0,0,0,0,0,0,0,0,0
"ENSG00000071073",0,0,0,0,0,0,0,0,0
"ENSG00000071462",0,0,0,0,0,0,0,0,0
"ENSG00000071553",-1,0,-1,0,0,0,0,1,1
"ENSG00000071794",0,0,0,0,0,0,0,0,0
"ENSG00000071967",-1,-1,0,0,0,0,1,1,0
"ENSG00000072041",-1,-1,0,1,0,0,1,0,0
"ENSG00000072042",-1,0,-1,0,0,0,1,1,0
"ENSG00000072062",0,1,1,-1,0,0,-1,0,0
"ENSG00000072210",0,0,-1,0,0,0,1,1,-1
"ENSG00000072274",1,0,0,0,0,-1,1,0,-1
"ENSG00000072310",-1,0,1,0,0,1,-1,0,0
"ENSG00000072401",-1,0,0,0,0,-1,0,1,1
"ENSG00000072506",0,0,0,0,0,0,0,0,0
"ENSG00000072609",0,1,1,0,0,0,0,-1,-1
"ENSG00000072657",1,0,0,1,0,-1,0,-1,0
"ENSG00000072682",-1,-1,0,0,0,0,1,1,0
"ENSG00000072756",0,0,0,0,0,0,0,0,0
"ENSG00000072778",0,0,0,0,0,0,0,0,0
"ENSG00000073060",0,1,1,0,0,0,-1,-1,0
"ENSG00000073417",0,0,1,0,0,0,-1,-1,1
"ENSG00000073578",1,1,0,0,0,0,-1,0,-1
"ENSG00000073734",0,0,0,0,0,0,0,0,0
"ENSG00000073737",-1,-1,-1,-1,-1,-1,0,-1,-1
"ENSG00000073756",-1,0,-1,0,0,0,1,1,0
"ENSG00000073849",-1,-1,0,0,0,0,1,0,1
"ENSG00000074370",0,0,0,0,0,0,0,0,0
"ENSG00000074410",0,0,0,0,0,0,0,0,0
"ENSG00000074416",0,0,0,0,0,0,0,0,0
"ENSG00000074621",0,0,0,0,0,0,0,0,0
"ENSG00000074696",0,0,0,0,0,0,0,0,0
"ENSG00000074800",0,0,0,0,0,0,0,0,0
"ENSG00000074803",0,0,0,0,0,0,0,0,0
"ENSG00000075188",0,0,0,0,0,0,0,0,0
"ENSG00000075239",0,0,0,0,1,1,0,-1,-1
"ENSG00000075415",1,1,0,0,-1,0,0,0,-1
"ENSG00000075651",1,0,1,0,-1,0,-1,0,0
"ENSG00000075673",-1,0,0,0,1,-1,0,0,1
"ENSG00000075975",0,-1,-1,0,0,0,1,1,0
"ENSG00000076258",-1,1,0,0,1,0,0,0,-1
"ENSG00000076351",0,-1,1,0,-1,1,0,0,0
"ENSG00000076555",-1,0,-1,0,0,1,0,1,0
"ENSG00000076685",0,0,0,0,0,0,0,0,0
"ENSG00000077009",-1,-1,-1,-1,-1,-1,0,-1,-1
"ENSG00000077044",-1,0,-1,0,0,0,1,1,0
"ENSG00000077152",0,1,0,0,0,1,-1,0,-1
"ENSG00000077254",0,0,0,0,0,0,0,0,0
"ENSG00000077463",0,0,0,0,0,0,0,0,0
"ENSG00000077498",0,0,0,0,0,0,0,0,0
"ENSG00000077514",0,0,0,0,0,0,0,0,0
"ENSG00000077721",-1,-1,0,0,0,0,1,0,1
