"","X13_1","X14_2","X17_2","X15_2","X7_2","X6_2","X3_1","X9_2","X12_1","X15_1","X5_1","X5_2","X4_1","X8_2","X9_1","X3_2","X1_2","X7_1","X1_1","X13_2","X12_2","X16_2","X8_1","X10_2","X10_1","X6_1","X2_1","X4_2","X14_1","X16_1","X11_2","X17_1","X2_2","X11_1"
"ENSG00000000419",0,-1,1,0,1,-1,-1,1,0,0,1,-1,0,0,1,1,0,0,-1,0,0,-1,-1,0,0,-1,1,1,0,-1,0,0,1,0
"ENSG00000001036",1,0,0,0,0,0,1,0,0,1,-1,0,-1,1,1,1,-1,0,-1,0,0,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0
"ENSG00000001084",-1,0,0,0,1,-1,1,-1,0,0,1,1,0,-1,0,1,-1,0,-1,0,0,1,-1,1,1,1,-1,-1,0,0,0,0,0,0
"ENSG00000001630",-1,0,0,0,0,-1,1,-1,0,0,-1,-1,-1,1,0,-1,0,1,-1,-1,1,0,0,1,1,-1,-1,-1,0,0,-1,-1,-1,-1
"ENSG00000002549",0,-1,1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,-1,-1,1,0,1,0,0,0,1,0,0
"ENSG00000002587",0,0,0,0,-1,1,0,-1,-1,0,0,1,0,1,0,-1,1,-1,1,-1,-1,0,1,0,1,0,0,0,-1,-1,1,0,1,0
"ENSG00000002726",-1,1,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,1,0,1,-1,-1,0,1,-1,-1,-1,0,-1,1,0,1,1,0,1
"ENSG00000002746",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1
"ENSG00000003137",-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,0,0
"ENSG00000003987",-1,1,0,0,0,0,1,0,0,1,1,-1,0,0,0,1,1,0,0,0,-1,0,0,-1,0,0,1,0,-1,-1,1,-1,-1,-1
"ENSG00000003989",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1
"ENSG00000004455",1,0,1,0,1,1,-1,0,0,1,1,0,1,0,-1,-1,-1,0,-1,0,0,0,0,-1,-1,1,-1,0,0,0,0,0,-1,1
"ENSG00000004468",0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,-1,-1,1,-1,0,1,-1,1,0,0,0,-1,0,-1,-1,-1,1,0,-1
"ENSG00000004478",1,1,0,-1,1,1,-1,-1,0,0,-1,0,-1,1,-1,0,0,1,0,1,0,1,1,-1,-1,0,0,-1,0,0,0,0,0,0
"ENSG00000004779",1,0,1,-1,1,0,0,-1,1,1,1,-1,0,0,-1,-1,-1,1,1,1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0
"ENSG00000004799",1,-1,0,0,0,1,0,0,0,0,1,0,1,-1,0,0,-1,0,-1,0,0,-1,1,-1,0,0,-1,0,1,-1,1,1,-1,1
"ENSG00000004809",-1,-1,0,1,-1,0,0,1,0,1,1,0,0,0,-1,1,0,-1,1,-1,0,0,0,1,0,1,1,-1,0,-1,0,0,0,-1
"ENSG00000004864",-1,1,-1,-1,0,0,1,0,1,1,1,0,-1,-1,0,0,-1,0,1,-1,0,0,0,-1,0,1,1,0,0,0,0,-1,0,1
"ENSG00000004939",-1,1,0,0,0,-1,1,-1,0,0,0,1,1,0,-1,1,0,-1,0,0,-1,1,0,0,0,0,1,0,1,0,-1,-1,1,-1
"ENSG00000004961",0,-1,1,0,0,0,-1,0,1,0,1,-1,0,0,0,1,-1,1,-1,-1,0,1,1,1,0,-1,-1,0,1,-1,0,0,0,0
"ENSG00000005022",0,-1,1,0,1,1,-1,0,0,1,0,0,0,1,-1,-1,-1,1,0,-1,0,1,0,0,-1,0,-1,0,0,1,-1,1,0,0
"ENSG00000005075",0,1,1,0,0,0,0,1,-1,-1,-1,0,-1,-1,0,0,1,0,-1,0,-1,1,0,1,0,0,1,0,1,0,-1,0,1,-1
"ENSG00000005187",0,1,-1,-1,0,-1,0,0,0,-1,1,1,0,0,-1,1,1,0,1,0,0,1,0,-1,-1,0,-1,-1,0,1,0,0,1,0
"ENSG00000005339",-1,-1,-1,0,-1,0,-1,1,0,-1,0,0,1,0,1,0,-1,-1,-1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0
"ENSG00000005381",0,-1,0,-1,0,-1,1,0,-1,-1,0,0,1,1,-1,0,-1,0,0,1,-1,0,1,0,-1,0,1,0,0,0,1,1,1,0
"ENSG00000005421",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000005469",1,1,0,0,1,0,-1,0,1,1,0,-1,0,0,0,-1,-1,1,0,1,1,-1,0,0,-1,-1,-1,0,1,-1,0,0,0,0
"ENSG00000005471",1,1,0,-1,0,0,-1,-1,0,0,1,1,0,0,-1,0,-1,-1,0,1,1,0,1,1,0,-1,-1,0,-1,0,1,0,0,0
"ENSG00000005483",-1,-1,-1,0,0,-1,1,0,0,0,1,0,0,0,0,1,-1,-1,-1,0,1,0,0,1,1,0,0,0,-1,0,1,-1,1,1
"ENSG00000005810",0,1,-1,0,-1,-1,-1,1,1,0,1,0,0,0,0,0,-1,0,-1,0,0,0,1,1,1,0,-1,0,-1,0,1,0,-1,1
"ENSG00000005882",0,1,0,0,1,-1,-1,-1,0,0,-1,0,1,1,-1,-1,-1,0,0,0,-1,-1,0,1,0,1,0,0,1,1,0,0,1,0
"ENSG00000006007",-1,0,0,0,0,0,1,0,0,0,1,1,1,-1,0,1,-1,0,0,-1,-1,1,-1,1,1,1,-1,0,0,0,-1,0,0,-1
"ENSG00000006071",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1
"ENSG00000006530",1,1,1,0,1,-1,-1,0,1,0,0,-1,0,-1,0,-1,0,0,1,1,1,-1,0,-1,0,-1,-1,0,0,1,0,0,0,0
"ENSG00000006534",0,-1,0,0,-1,1,-1,0,-1,0,-1,0,0,1,1,1,1,-1,0,-1,-1,1,1,-1,0,0,0,0,1,1,0,0,0,0
"ENSG00000006625",1,0,1,1,1,-1,0,0,0,1,-1,0,-1,1,0,1,0,1,-1,0,1,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0
"ENSG00000006695",1,1,1,0,1,0,-1,0,0,1,0,-1,-1,0,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,0,1,0,0,1,0,-1,0
"ENSG00000006756",-1,-1,0,0,-1,1,0,1,0,1,-1,0,0,1,0,1,-1,-1,0,-1,0,0,1,0,0,1,0,1,-1,0,0,0,-1,1
"ENSG00000006757",0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,-1,-1,1,1,-1,-1,0,0,-1,1,0,0,0,1,1,-1,0,0,1,1
"ENSG00000007001",-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,1,-1
"ENSG00000007168",1,-1,0,0,0,-1,0,1,1,0,1,-1,1,0,0,0,-1,1,-1,1,1,0,0,0,0,-1,-1,1,-1,0,0,0,-1,0
"ENSG00000007171",-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,-1,-1,-1
"ENSG00000007216",-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1
"ENSG00000007350",1,0,0,1,0,-1,0,1,1,1,-1,-1,-1,1,0,-1,0,0,0,1,1,-1,1,-1,0,0,0,-1,0,-1,0,0,0,0
"ENSG00000007541",0,1,0,-1,1,-1,0,-1,-1,-1,-1,0,0,0,0,1,1,0,0,0,-1,-1,0,0,1,1,1,0,1,0,0,1,0,-1
"ENSG00000007933",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1
"ENSG00000007944",-1,-1,0,1,0,0,-1,1,0,-1,0,0,1,0,1,-1,0,1,-1,-1,0,0,0,0,1,-1,0,1,0,1,1,0,-1,0
"ENSG00000008130",-1,-1,0,0,-1,1,1,1,-1,-1,-1,0,1,0,1,1,1,-1,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000008300",1,0,0,0,0,-1,0,-1,1,-1,0,0,-1,0,0,-1,1,0,1,0,1,1,0,0,-1,0,0,-1,1,1,-1,0,1,-1
"ENSG00000008311",0,0,0,0,0,1,-1,0,0,1,1,0,1,0,-1,-1,-1,0,0,1,1,-1,0,1,0,0,-1,0,-1,0,-1,0,1,-1
"ENSG00000008394",0,-1,0,0,-1,1,0,0,-1,1,0,0,1,0,0,1,0,0,-1,-1,0,1,1,-1,0,-1,-1,1,-1,1,0,0,1,0
"ENSG00000008438",-1,-1,0,1,0,1,0,-1,-1,0,-1,0,1,0,-1,1,1,-1,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1
"ENSG00000008513",0,1,0,0,0,0,1,0,-1,0,-1,1,0,0,0,1,0,-1,0,1,-1,1,1,0,-1,1,-1,0,1,0,-1,0,-1,-1
"ENSG00000009335",1,1,0,-1,-1,0,0,-1,0,0,0,-1,-1,1,0,1,-1,0,1,-1,1,0,0,0,0,0,1,0,1,1,-1,0,-1,0
"ENSG00000009413",0,1,0,0,-1,-1,0,1,0,0,1,0,1,0,0,1,-1,-1,-1,0,-1,-1,1,0,1,-1,0,0,-1,0,1,0,0,1
"ENSG00000009830",0,0,-1,-1,0,0,0,1,1,-1,-1,0,0,1,0,0,1,-1,0,-1,0,0,-1,0,-1,1,-1,0,1,1,0,1,1,0
"ENSG00000010165",1,0,1,0,0,1,-1,0,0,0,-1,0,0,1,0,-1,-1,1,1,1,0,1,0,-1,-1,0,-1,0,0,1,-1,0,-1,0
"ENSG00000010256",0,-1,1,0,1,1,-1,0,0,0,-1,0,0,1,-1,0,0,1,0,0,0,-1,1,-1,-1,0,-1,0,1,1,0,1,0,-1
"ENSG00000010379",-1,-1,-1,1,0,-1,0,1,-1,0,-1,-1,-1,-1,0,-1,1,-1,0,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0
"ENSG00000010404",0,-1,0,-1,-1,0,0,1,-1,0,1,0,1,0,1,0,0,-1,-1,0,0,1,-1,1,1,0,1,0,0,0,0,-1,1,-1
"ENSG00000010932",-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,-1
"ENSG00000011009",1,-1,1,0,1,1,-1,0,0,0,-1,0,0,1,0,0,1,1,0,-1,0,0,0,-1,-1,0,-1,0,1,1,-1,0,-1,0
"ENSG00000011052",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000011083",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1
"ENSG00000011198",-1,-1,0,0,-1,1,-1,1,-1,-1,1,1,1,0,0,1,0,-1,0,-1,-1,1,0,0,1,0,0,1,0,0,0,0,0,0
"ENSG00000011275",0,1,0,-1,-1,1,-1,0,-1,0,-1,0,0,1,1,0,1,-1,1,-1,-1,0,0,0,0,1,0,0,1,0,0,1,0,-1
"ENSG00000011405",0,0,0,1,0,-1,1,1,0,1,1,0,0,0,0,-1,-1,0,-1,1,1,-1,1,0,0,-1,0,-1,-1,-1,1,0,0,0
"ENSG00000012232",-1,0,0,0,-1,1,-1,1,0,-1,-1,0,1,1,0,1,0,-1,1,-1,0,0,0,-1,-1,0,0,1,1,1,0,0,0,0
"ENSG00000012660",-1,-1,-1,0,0,0,0,1,0,-1,1,0,1,0,1,1,-1,0,-1,0,1,0,0,1,1,0,0,0,-1,-1,1,-1,0,0
"ENSG00000012779",-1,-1,0,-1,-1,1,0,1,-1,-1,0,1,0,0,1,1,1,-1,0,-1,-1,0,1,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000012963",1,0,1,0,1,0,-1,0,0,0,1,0,0,1,0,-1,-1,1,-1,1,0,-1,0,0,1,0,-1,0,0,-1,1,-1,-1,0
"ENSG00000013288",1,0,1,0,-1,0,-1,0,0,0,-1,0,-1,1,0,0,1,-1,1,0,0,1,1,-1,-1,-1,0,0,1,1,0,0,0,-1
"ENSG00000013375",0,1,0,0,1,0,1,1,1,-1,1,0,0,0,-1,-1,0,1,1,-1,0,-1,1,-1,0,0,0,0,-1,-1,0,-1,0,0
"ENSG00000013392",0,1,1,0,1,0,0,-1,0,0,-1,0,0,1,1,0,-1,1,0,-1,0,-1,-1,0,-1,1,1,1,-1,0,0,0,-1,0
"ENSG00000013503",1,1,-1,0,1,0,-1,-1,1,1,1,-1,0,0,0,-1,0,0,1,0,0,0,-1,0,1,0,-1,0,1,0,0,-1,0,-1
"ENSG00000013561",-1,0,0,0,1,-1,0,-1,0,0,1,1,1,-1,0,0,-1,0,-1,0,0,1,-1,1,1,1,-1,-1,0,0,0,0,1,0
"ENSG00000014138",0,0,1,0,-1,1,1,1,0,0,-1,-1,0,0,0,0,-1,0,0,-1,1,0,1,0,1,0,1,1,-1,0,-1,0,-1,-1
"ENSG00000014257",-1,0,0,-1,-1,1,0,0,0,-1,1,1,1,-1,0,1,0,-1,1,0,-1,0,-1,1,0,0,1,0,0,-1,0,0,1,0
"ENSG00000014641",1,0,1,1,1,0,-1,-1,0,1,0,0,-1,0,-1,-1,-1,1,0,1,0,-1,1,0,0,-1,-1,0,0,0,0,1,0,0
"ENSG00000015413",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1
