"","x"
"1","MF0015_1"
"2","MM0013_3"
"3","MF0016_3"
"4","MM0031_2"
"5","MM0020_1"
"6","MF0014_2"
"7","MM0028_2"
"8","MM0026_2"
"9","MM0029_1"
"10","MM0013_2"
"11","MF0008_2"
"12","MF0017_2"
"13","MM0025_1"
"14","MM0027_2"
"15","MM0022_3"
"16","MF0016_2"
"17","MF0008_1"
"18","MF0016_1"
"19","MF0012_2"
"20","MF0012_3"
"21","MF0018_1"
"22","MM0026_1"
"23","MM0019_3"
"24","MM0029_2"
"25","MM0019_2"
"26","MF0006_2"
"27","MM0011_2"
"28","MF0014_3"
"29","MM0028_3"
"30","MF0018_3"
"31","MF0015_2"
"32","MM0022_1"
"33","MF0007_2"
"34","MF0008_3"
"35","MM0018_3"
"36","MM0020_3"
"37","MM0011_1"
"38","MM0025_2"
"39","MM0031_1"
"40","MM0027_1"
"41","MM0027_3"
"42","MM0011_3"
"43","MF0020_1"
"44","MM0021_1"
"45","MM0013_1"
"46","MM0018_2"
"47","MM0021_2"
"48","MM0019_1"
"49","MM0020_2"
"50","MM0028_1"
"51","MF0007_1"
"52","MM0029_3"
"53","MF0006_1"
"54","MF0017_3"
"55","MM0031_3"
"56","MM0025_3"
"57","MM0026_3"
"58","MM0023_1"
"59","MF0018_2"
"60","MM0023_2"
"61","MF0020_3"
"62","MF0012_1"
"63","MF0014_1"
"64","MM0030_2"
"65","MM0030_1"
"66","MM0022_2"
"67","MF0006_3"
"68","MM0021_3"
"69","MM0018_1"
"70","MM0030_3"
"71","MF0015_3"
"72","MM0023_3"
"73","MF0017_1"
"74","MF0020_2"
