"","Control1","Control2","Control3","M1","M2","M3"
"Zranb2",18.218843,20.590259,18.610377,19.296639,16.293041,10.194323
"Lrriq3",0.373307,0.538831,0.628347,0.42429,0.236564,0.16713
"Dnase2b",0.015478,0.011851,0,0,0,0
"Adgrl2",5.193862,7.560864,6.775769,3.742093,4.030421,5.29494
"Rpf1",11.373414,11.976136,11.525723,8.652198,7.810322,7.946612
"Uox",0,0,0.063261,0,0,0
"Ctbs",3.044782,2.794482,4.531088,2.97656,1.905313,2.990036
"Spata1",1.081625,0.981503,0.727652,0.961497,0.699079,0.278486
"Ptprh",0,0,0,0,0,0
"Mageb4",0,0,0,0,0,0
"Fam170a",0,0,0,0,0,0
"Sap30bp",5.9565,8.009713,7.070143,6.581099,4.258884,7.953352
"Recql5",2.686935,3.448378,3.216138,2.888543,2.502213,3.559103
"Itgb4",4.078343,5.383246,4.239563,2.550983,2.562058,4.866352
"Ahnak",22.693234,25.672103,52.21187,33.650592,26.8738,37.770207
"Nlrp1a",0,0,0,0,0,0
"Atp6v0d2",1.886524,2.460116,0.464287,0.506913,0.417165,0.155251
"Cdk10",7.697243,11.886892,6.849371,10.779057,9.222414,10.125493
"Klf9",21.493423,21.518929,27.84783,22.443907,21.157921,18.495781
"Fgg",1.286274,3.08323,4.062095,1.265669,2.008511,1.256926
"Sat2",1.97916,2.468874,3.836648,3.81862,2.53854,3.630216
"Tgs1",3.316612,3.742571,5.126989,4.258171,3.108556,3.821023
"Tmem68",4.648377,4.716181,5.603086,4.235485,4.064336,4.264683
"Sdr16c5",0,0,0,0,0,0
"Rps20",61.514847,93.460747,30.098074,82.352386,56.716427,61.445908
"Olfr779",0,0,0,0,0,0
"Ackr2",1.308499,0.852245,2.404097,0.995175,0.980415,2.321368
"Rps2",27.323207,39.524694,23.130494,30.59268,35.733584,31.634871
"Btbd35f22",0,0,0,0,0,0
"Cst7",0.700172,0.582057,0.947033,0.493163,0.148915,1.107862
"Nop56",12.702122,18.728295,20.833903,20.392309,16.850577,21.267546
"Snrpb",80.737189,94.403276,45.873877,89.449456,87.380714,93.933257
"Olfr1101",0,0,0,0,0,0
"Olfr1104",0,0,0,0,0,0
"Olfr1109",0,0,0,0,0,0
"Pdyn",0,0,0,0,0,0
"Tgm6",0,0,0,0,0,0
"Olfr1098",0,0,0,0,0,0
"Olfr1099",0,0,0,0,0,0
"4933415F23Rik",0,0,0.028234,0.014799,0,0
"Stk4",5.364781,5.986547,8.014541,5.431213,3.88832,6.410474
"Cnr1",0.104874,0.176817,0.382941,0.226432,0.119344,0.12978
"Olfr221",0,0,0,0,0,0
"Nrn1l",0,0.167258,0,0.166809,0.310659,0.210126
"Chrd",0.941708,1.637084,1.827783,2.449149,2.107931,2.365437
"Defb50",0,0,0,0,0,0
